"animal","sex","mass_kg","tail_cm","shy_sec"
"8_1","M",5.37002083880525,8.89561477840981,39.4417132399707
"8_2","M",4.20296043834793,8.92776295047968,30.888419232675
"8_3","F",3.39291155566407,6.15318148558017,38.2408824343074
"8_4","M",5.44749073365357,10.3305952160403,34.4469343902568
"8_5","F",4.45995520495514,6.58160546578991,35.5084964561457
"8_6","F",6.17035311769727,9.27835155497638,24.8874699674325
"8_7","M",4.92754439837376,10.2300738937221,21.3506563771644
"8_8","M",5.41484781488801,9.22098693651668,25.1923245375811
"8_9","F",7.22138000706379,8.49424247697252,30.7487531048328
"8_10","M",6.6080158843886,10.3297581758298,31.0077705185414
"8_11","F",4.92468666156859,7.57854439397811,28.7905706444371
"8_12","F",4.31049525712784,8.18705522395924,24.2490692962813
"8_13","M",4.19148166268205,9.17864856760897,26.8979681874573
"8_14","M",4.0988606345977,9.86710062967726,17.8659072521267
"8_15","M",4.21786325194206,8.81384961371908,16.9810147561852
"8_16","M",6.76920835028562,9.79553664860087,27.3554888199891
"8_17","M",3.80828771270942,6.78313344722118,28.8016062451295
"8_18","M",5.29072368574178,8.52973710943141,27.5961913105453
"8_19","M",4.63040348514995,7.47504006751337,25.803014949919
"8_20","F",7.56716573012586,10.4897887419342,39.551209917758
"8_21","F",4.01705390118947,5.96905031507456,34.1148152491197
"8_22","F",4.67074221817669,5.78050979918478,41.1251945616914
"8_23","F",4.85331656034413,5.96823392896805,23.4522188602729
"8_24","F",5.3309034835396,5.58807007364511,17.2499864640875
"8_25","F",5.1260772682075,7.06229684636384,39.9083313870452
"8_26","F",3.75493581866857,3.02991411742432,32.8363790754864
"8_27","F",4.32826652823129,3.17069421443745,28.6240414245862
"8_28","M",4.39263773768831,6.26574182699027,25.8929257946828
"8_29","M",5.82635591112425,6.00195093826257,25.5947487935197
"8_30","M",5.90594155880381,6.78300038990863,26.4230583452029
"8_31","M",4.58068781596581,6.63843397485114,27.8842536132289
"8_32","F",3.29319041011048,3.63666546958942,33.9378340827654
"8_33","F",5.87661338109955,6.45035356790291,36.4821673080757
"8_34","F",6.28955479280794,7.19941109677689,31.9911977417313
"8_35","M",5.51093801553721,6.41258234358228,23.0135316779266
"8_36","M",6.11617995300509,7.67166934380758,26.214311252481
"8_37","M",5.0625224414326,7.89681470113333,26.7819135167332
"8_38","M",5.82658263445959,7.24964600742044,31.9467954270373
"8_39","F",5.25700085567986,5.91088173899325,33.7490279026426
"8_40","M",4.57700944622521,7.05244922599675,23.1489165873415
"8_41","M",5.41856438967018,7.17181479121826,22.3146351612644
"8_42","F",3.40004038041427,5.48464126725336,26.2854946306937
"8_43","M",6.34868201062763,8.43287873623631,33.1624814649161
"8_44","F",4.58633351425386,5.43154561261264,22.4092849841617
"8_45","M",4.82210824785858,7.65991432838108,32.9379783950246
